marker,gene,gmsdis_coef,gmsdis_coef_pval,gmsdis_pval_fdr
7789_182_3,PRDX4,-0.112085385,0.024367795,0.022219652
11138_16_3,RUNX3,-0.293255312,0.004023798,0.00648243
4991_12_1,GPC5,0.130738275,0.0233,0.005081685
3761_4_2,PTGS2,-0.362344554,1.06e-5,5.83776e-4
2762_30_2,FGF19,-0.151374338,4.38e-4,8.31e-6
5068_54_3,CRTAM,-0.270189111,0.001486036,0.015734035
5813_58_3,EPO,0.273192309,1.16279e-4,5.02e-6
7012_35_3,VNN2,0.199749679,0.00243,1.35e-9
8383_20_3,C11orf94,-0.253434123,7.23e-5,8.96104e-4
8013_9_3,LMAN2L,0.130118389,0.00508,0.003379126
3642_4_1,CD84,0.179684,1.85e-4,0.001198674
6583_67_3,SERPINA10,-0.185355075,0.007197036,0.004172956
8053_16_3,DNAJB14,0.125868988,0.0368,0.003387634
6551_94_3,SERPINA12,-0.257156589,0.001305916,0.006918434
9297_12_3,B3GNT8,0.143246447,0.00516,2.34e-8
13566_2_3,SSU72,-0.206060941,1.46011e-4,0.001233033
2834_54_1,KLK8,0.13317495,0.017263707,0.0111
2645_54_1,PRKCZ,-0.245975504,0.001909847,0.01558483
3881_49_2,DYNLL1,-0.128019262,0.032218574,0.001171531
9294_45_3,MFAP2,0.077551432,0.040378652,0.002252912
6462_12_3,TIMP4,-0.243688648,1.19e-7,4.18e-8
2677_1_1,EGFR,0.140909011,0.0227,0.00275
6904_14_3,LRRTM2,0.141890697,0.0116,1.01e-5
11440_58_3,SOCS3,0.121467747,0.001494522,0.02125264
10761_5_3,TMED2,0.087287464,0.048,0.0436
3521_16_2,CGA,-0.182889818,0.014974509,0.004946563
10420_30_3,FAIM,0.136668512,0.004972308,0.03551224
5084_154_3,IL17RB,0.213661257,4.48078e-4,0.001971575
9266_1_3,TREM1,0.411076222,1.36e-6,1.85e-9
3505_6_2,LTB,-0.360848413,7.51805e-4,3.51e-5
2900_53_3,CCL14,0.175962138,0.00147,1.18e-6
