marker,gene,ms_hd_median_diff,ms_vs_hd_diff_wilcox_fdr
9994_217_3,ATP4B,0.54386446,0.003049633
14093_10_3,FLT3LG,0.613102698,0.002361869
12878_60_3,OSBPL11,1.086467998,2.96e-6
12398_15_3,PAX4,-0.472670046,0.026701786
6228_58_3,SPACA1,-0.647791961,0.003916477
12358_6_3,IGBP1,1.006621187,8.05e-6
8031_11_3,CEACAM1,0.778517996,0.002842125
2831_29_1,KLK11,-0.703508038,0.001648901
14617_7_3,CNTNAP1,-0.758853966,3.96048e-4
5722_78_3,PRCP,-0.88637604,9.51e-8
8954_30_3,MAP4K1,1.512130318,2.76e-12
7885_17_3,CFHR5,0.449423456,0.0292
14024_196_3,EDA,0.745504195,3.25e-5
8479_4_3,MMP10,0.540592289,0.015316227
7872_5_3,NUDT8,0.508239834,0.004457106
11543_84_3,LIMA1,0.367793678,0.015987159
11302_237_3,TNR,-0.506800867,0.0165
2670_67_4,CKM,-0.502535778,6.19e-5
7824_88_3,MSRB3,-0.310411862,0.00524
9077_10_3,MAN1A2,-0.453494586,0.003195523
10610_8_3,DEFB134,0.62868259,0.007138363
8240_207_3,GPNMB,1.010073255,1.71e-8
6399_52_3,DEFB107A,-0.428774789,0.02301039
4435_66_2,ENPP7,0.513965716,0.03054918
2778_10_2,IL22,-0.611290041,2.86e-5
2773_50_2,IL10,0.631721697,3.78814e-4
6232_54_3,CD86,0.599452921,0.003454644
3312_64_1,FCGR1A,-0.832680152,0.002292666
5400_52_3,LEPR,0.364561238,0.04427432
11436_6_3,INA,0.769903252,0.003134008
4535_50_2,BST1,0.448770677,0.001550878
5134_52_2,HAVCR2,0.837990541,1.36e-11
3352_80_3,CA6,-0.193460874,0.0275
3302_58_1,CST7,0.682779355,1.82e-5
12906_137_3,FLNA,1.577413562,1.86e-11
13431_74_3,FAM159A,0.387764641,8.49208e-4
13053_6_3,SLC6A14,0.433694581,0.001411776
7713_102_3,FMR1,0.695137521,2.17491e-4
9796_4_3,CEL,-0.384110269,0.00165
9787_23_3,COLEC12,0.738353006,0.001066696
4992_49_1,GRN,0.934959642,4.76242e-4
7178_59_3,DEPP1,0.801040362,7.39394e-4
6934_8_3,DEFB131,0.356064715,0.00645188
4187_49_2,PGD,-0.414450523,0.040513364
3000_66_1,MBL2,0.664280948,9.97e-4
6374_7_3,MMP20,-0.89167258,3.33e-5
8620_56_3,KLK14,-0.40115569,0.006011192
11536_9_3,MYSM1,0.357378941,0.034866637
6280_11_3,PCDH8,0.588461973,0.010683373
12022_12_3,SMAD4,0.478262745,0.008153593
12700_9_3,ACLY,0.999446303,1.88e-7
5963_9_3,DMKN,0.270610157,0.02913328
8702_42_3,OSCAR,0.919131463,1.45e-7
4970_55_1,CA2,-0.860813844,6.73e-5
14054_17_3,IL15RA,0.936191213,3.8e-7
5491_12_3,SPOCK2,-1.286660171,1.56e-13
10616_67_3,PODXL2,-0.596184234,0.004238167
14662_6_3,MZF1,0.666410225,2.07e-5
8327_26_3,DPEP2,0.686904733,2.12e-6
3486_58_2,FGF1,-0.53957682,0.011107489
5061_27_3,ICOSLG,0.79235589,7.41e-6
8983_7_3,GOLM1,-0.487458614,4.03e-4
11448_34_3,GALK1,0.520459907,0.032315274
14157_21_3,YWHAE,-0.342418593,0.014730506
5980_55_3,BOLA3,0.572140627,1.16041e-4
10447_18_3,PABPC3,0.968498984,9.14e-7
8529_1_3,TNFRSF10B,-0.553111467,0.001025179
9300_13_3,PVRL1,-0.517389447,0.00203786
8859_51_3,CA11,-0.401602756,0.0233
3173_49_2,NAAA,-0.354493937,0.048929378
9306_7_3,DEFB118,-0.733281112,0.001718092
11071_1_3,IL5,-0.618057245,6.77026e-4
14616_16_3,ZNF382,-1.15794093,6.19e-9
5736_1_3,TREML2,1.285714547,9.39e-11
4886_3_1,CCL7,0.867569457,3.96048e-4
3196_6_2,HAPLN1,-0.596727846,4.51e-5
5131_15_3,TNFRSF19,0.351494191,0.00237902
7761_125_3,CHKB,0.684034881,5.14e-4
4931_59_1,F3,0.527982594,0.001443659
7244_16_3,IGFLR1,0.907460134,7.17e-12
7856_51_3,FAM151A,-0.793172593,0.00467856
3498_53_2,IL17A,-0.785036566,1.62e-5
5452_71_3,ASGR1,0.67380558,1.32e-4
12764_3_3,ELMO1,0.409673283,0.006126247
11203_97_3,PKLR,-0.612824452,0.009207296
9900_36_3,NEFH,1.633441919,2.75e-14
3666_17_4,CFHR5,0.370685694,0.034
6248_68_3,FAS,0.78310003,3.89e-7
11325_8_3,BTG2,-0.401855153,0.009339751
14037_18_3,RANBP3,0.518074334,0.005744807
6036_78_3,EPHA10,1.227258685,4.36e-8
9022_49_3,DEFB132,0.635043625,2.56e-5
6223_5_3,GUCA2B,0.301268461,0.025753492
14102_6_3,GNLY,-0.530840487,0.004238167
12387_7_3,PDLIM4,0.397843113,0.02059771
5695_5_3,BPIFA2,-0.30521461,0.023928482
10583_1_3,TMEM108,-0.583419471,5.75e-5
9739_4_3,MSH2,0.961464754,5.98e-6
7999_23_3,ENTPD1,0.673649432,3.04502e-4
2878_66_2,YES1,-0.416914443,0.003141045
13978_122_3,TBX3,0.362575329,0.008410281
11315_148_3,PPM1D,-0.635109126,1.07e-5
7640_29_3,LRP1B,0.988498954,0.001986144
4453_83_3,LRRTM3,-0.999284889,2.69e-8
10056_5_3,FOXM1,0.6683586,0.011869937
10752_8_3,CDYL2,0.755200171,0.001429237
9017_58_3,LCT,0.572693118,0.009132263
3893_64_1,MSLN,-0.506691402,0.017403041
12450_42_3,PMVK,0.53411631,0.004099959
2632_5_2,IL12RB1,-0.523607496,0.037481163
9277_16_3,REG3A,0.851550307,1.69e-6
11926_23_3,AAGAB,-0.43220741,0.041084862
9816_37_3,ISOC1,-0.740314075,2.98e-5
12734_112_3,KIF22,-0.404729972,0.041355573
6234_74_3,VIT,-0.542920275,0.0127
9511_61_3,NXPH2,-0.516819372,0.00109
13500_9_3,TEX29,0.5329605,9.24407e-4
5646_20_3,RNASE6,0.476425889,0.002112618
14013_11_3,TANK,-0.547926305,0.005584705
2797_56_2,APOB,0.842911955,4.81e-4
9993_11_3,ZNF264,0.540493578,0.012924921
9719_145_3,MMP16,-0.41827024,7.5e-4
5355_69_3,TNFSF14,1.013403962,4.53e-7
6448_36_3,SEMA3C,-1.282971664,3.27e-8
9459_7_3,FAS,1.130736711,2.02e-9
14283_12_3,RAB14,-0.598626299,6.0588e-4
9221_6_3,ITPRIPL1,0.760286165,1.17e-4
6434_18_3,AOC2,-0.74192389,4.71709e-4
6291_55_3,CLSTN3,1.200363455,4.86e-7
8398_277_3,RARRES1,-0.385786105,7.85574e-4
14108_15_3,TGFB1,0.53327221,7.68e-5
6324_11_3,DNASE1L2,0.623378314,0.014513395
8011_96_3,ACP7,-0.804104445,2.89e-5
2516_57_3,CCL21,-0.487964491,0.011189026
12020_39_3,BPGM,-0.570998239,0.004685702
13588_11_3,ANXA9,-0.602691473,0.021433336
9067_152_3,CEP57,-0.614429155,1.76704e-4
12714_38_3,AP1G2,0.812928435,5.85e-7
7693_13_3,TNFRSF10B,0.631086581,6.09e-4
7200_4_3,LRFN2,-0.549049316,0.00236
4549_78_2,FUT5,0.624898086,9.76e-5
12709_63_3,H1FX,0.933867683,6.42e-7
8065_245_3,PATE4,-0.510675032,0.001128576
13993_20_3,EPB41L1,-0.682740427,0.002739485
4721_54_2,TFF3,0.796869912,2.01e-5
3078_1_2,PGF,-0.399096586,0.0121
3195_50_2,GNLY,-0.457251877,0.003168121
8363_18_3,KIAA1324L,-0.501623893,0.009911128
12527_50_3,THRA,0.302349899,0.003289009
12790_10_3,CCDC51,-0.372353323,0.041889742
3360_50_4,CHEK2,-0.421565464,0.005564296
6444_15_3,PSG3,0.690863469,4.53e-6
8758_2_3,PCDHA7,0.652108379,1.05688e-4
14007_22_3,PAPSS1,0.706341693,4.19e-5
5337_64_3,CD86,0.855401902,0.001733296
