marker,gene,ms_hd_median_diff,ms_vs_hd_diff_wilcox_fdr
6463_59_3,QRFP,0.503013272,7.94423e-4
3341_33_4,ABL1,-0.683555577,2.51e-5
14122_132_3,ZNRF3,0.457919263,0.024962341
13268_45_3,WNT5A,1.414147223,1.46e-8
6533_20_3,DNASE2B,-0.527513136,0.003832404
12627_97_3,ATG7,0.241795356,0.038754926
6081_52_3,PCOLCE2,-0.581096651,2.01e-4
14135_3_3,RXFP1,-0.396997005,0.007920431
5970_61_3,LECT2,-0.455289038,0.00244627
3178_5_2,CTSC,0.256892433,0.031786379
7909_37_3,SHBG,-0.536135389,0.00226
8099_42_3,SPON2,-0.977186099,3.16e-6
5739_75_3,KRTDAP,0.555522485,3.76353e-4
9327_3_3,LYPD1,0.292734608,0.017005954
3284_75_1,BGN,-0.696710431,5.49e-6
5384_67_3,BRF1,0.195068188,0.03939937
11327_56_3,CLK2,0.70356797,3.15e-5
9051_13_3,IL32,0.376161429,0.001804255
4909_68_1,LGALS8,-0.645630265,2.19e-5
3832_51_1,PTK6,-0.578903651,0.008068909
10078_5_3,BAG3,1.066358193,4.37e-7
7196_21_3,IFNW1,0.840109747,8.59e-6
3381_24_2,LYN,-0.779406758,1.55e-5
11265_8_3,ALDH1A1,-0.518655556,6.39725e-4
5620_13_3,PAM,0.393769861,0.00208793
11383_41_3,KRT7,0.682067885,0.001070468
5100_53_3,SCARB2,-0.848902777,1.9e-5
9539_25_3,COL26A1,-0.7335326,0.003064771
13565_2_3,RBL2,-0.653297905,0.00275641
9566_103_3,LEPR,0.690478156,8.02e-5
4230_1_2,EIF4G2,0.961900819,6.32e-7
12855_16_3,CASS4,0.763746548,0.001777847
10895_28_3,TMPRSS11B,0.320737102,0.013969622
7763_25_3,CDH11,0.384122801,0.008934679
12077_32_3,MSTN,0.664232276,3.43e-5
3182_38_2,ENTPD1,0.472263863,0.00275641
9089_77_3,JPH3,-0.901797421,9.83e-8
8767_44_3,ECE1,0.549443996,7.13643e-4
3339_33_1,THBS2,-0.744423704,2.25e-6
9035_2_3,MXI1,-0.640830764,0.002628224
5482_61_3,RBP4,-0.822927819,8.52e-6
13712_104_3,GZMA,0.996273358,1.28e-7
9927_96_3,TNS4,0.562328169,0.003954692
